Id,Creation Time,Owner,Tags,logs/imputation,Running Time,logs/company,logs/missingness,logs/seed,logs/smape (last)
EX1-40,2021-08-04 12:11:59,mavantwout,"[""seed3"",""4-year"",""price_imputed"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""single_run"",""1D-prediction""]",meanlast260,1038.285,AAPL,985,3,0.027951183393853607
EX1-39,2021-08-04 12:11:27,mavantwout,"[""price_imputed"",""4-year"",""1D-prediction"",""20-predictions"",""single_run"",""seed3"",""no-extra-feature"",""20-step-ahead""]",forwardfill,1161.794,AAPL,985,3,0.02709402040515522
EX1-38,2021-08-04 12:07:51,mavantwout,"[""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""seed3"",""1D-prediction"",""20-predictions"",""no-extra-feature""]",globalmean,991.714,AAPL,985,3,0.029468211464515576
EX1-37,2021-08-04 12:02:31,mavantwout,"[""no-extra-feature"",""price_imputed"",""20-step-ahead"",""single_run"",""seed1"",""20-predictions"",""4-year"",""1D-prediction""]",cubicfit260,1191.782,AAPL,985,1,0.04038777356986249
EX1-36,2021-08-04 12:00:31,mavantwout,"[""5D-prediction"",""4-year"",""single_run"",""no-extra-feature"",""price_imputed"",""20-predictions"",""20-step-ahead"",""seed3""]",5_imputations_combined,1123.696,AAPL,985,3,0.02515253692139786
EX1-35,2021-08-04 11:59:12,mavantwout,"[""seed2"",""4-year"",""single_run"",""20-step-ahead"",""1D-prediction"",""no-extra-feature"",""20-predictions"",""price_imputed""]",linearfit260,1159.092,AAPL,985,2,0.03261345935809442
EX1-34,2021-08-04 11:54:40,mavantwout,"[""4-year"",""seed2"",""price_imputed"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""single_run"",""1D-prediction""]",meanlast260,1037.532,AAPL,985,2,0.029192413476845792
EX1-33,2021-08-04 11:51:49,mavantwout,"[""price_imputed"",""4-year"",""1D-prediction"",""20-predictions"",""single_run"",""no-extra-feature"",""seed2"",""20-step-ahead""]",forwardfill,1177.087,AAPL,985,2,0.031374353137881325
EX1-32,2021-08-04 11:51:03,mavantwout,"[""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""seed2"",""1D-prediction"",""20-predictions"",""no-extra-feature""]",globalmean,1007.318,AAPL,985,2,0.03806967654486425
EX1-31,2021-08-04 11:42:18,mavantwout,"[""no-extra-feature"",""price_imputed"",""20-step-ahead"",""single_run"",""seed0"",""20-predictions"",""4-year"",""1D-prediction""]",cubicfit260,1211.697,AAPL,985,0,0.045846502852034086
EX1-30,2021-08-04 11:41:48,mavantwout,"[""5D-prediction"",""4-year"",""single_run"",""no-extra-feature"",""price_imputed"",""seed2"",""20-predictions"",""20-step-ahead""]",5_imputations_combined,1121.989,AAPL,985,2,0.02602715139086532
EX1-29,2021-08-04 11:40:00,mavantwout,"[""4-year"",""single_run"",""20-step-ahead"",""1D-prediction"",""no-extra-feature"",""20-predictions"",""price_imputed"",""seed1""]",linearfit260,1152.611,AAPL,985,1,0.027325954230130612
EX1-28,2021-08-04 11:37:21,mavantwout,"[""4-year"",""price_imputed"",""seed1"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""single_run"",""1D-prediction""]",meanlast260,1038.297,AAPL,985,1,0.02661104489041316
EX1-27,2021-08-04 11:34:05,mavantwout,"[""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""seed1"",""1D-prediction"",""20-predictions"",""no-extra-feature""]",globalmean,1018.06,AAPL,985,1,0.03203504943584855
EX1-26,2021-08-04 11:32:09,mavantwout,"[""price_imputed"",""4-year"",""seed1"",""1D-prediction"",""20-predictions"",""single_run"",""no-extra-feature"",""20-step-ahead""]",forwardfill,1178.949,AAPL,985,1,0.025263151870474638
EX1-25,2021-08-04 11:23:16,mavantwout,"[""5D-prediction"",""4-year"",""single_run"",""no-extra-feature"",""price_imputed"",""20-predictions"",""20-step-ahead"",""seed1""]",5_imputations_combined,1111.105,AAPL,985,1,0.028367385562555986
EX1-24,2021-08-04 11:20:37,mavantwout,"[""seed0"",""4-year"",""single_run"",""20-step-ahead"",""1D-prediction"",""no-extra-feature"",""20-predictions"",""price_imputed""]",linearfit260,1161.974,AAPL,985,0,0.029422019227148384
EX1-23,2021-08-04 11:19:28,mavantwout,"[""seed0"",""4-year"",""price_imputed"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""single_run"",""1D-prediction""]",meanlast260,1071.656,AAPL,985,0,0.02731620973855365
EX1-22,2021-08-04 11:17:11,mavantwout,"[""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""seed0"",""1D-prediction"",""20-predictions"",""no-extra-feature""]",globalmean,1013.269,AAPL,985,0,0.03207840530694467
EX1-21,2021-08-04 11:12:44,mavantwout,"[""price_imputed"",""4-year"",""seed0"",""1D-prediction"",""20-predictions"",""single_run"",""no-extra-feature"",""20-step-ahead""]",forwardfill,1164.545,AAPL,985,0,0.027953360371952084
EX1-20,2021-08-04 11:04:23,mavantwout,"[""5D-prediction"",""4-year"",""single_run"",""no-extra-feature"",""price_imputed"",""seed0"",""20-predictions"",""20-step-ahead""]",5_imputations_combined,1131.291,AAPL,985,0,0.02396125899749478
