Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-122,2021-08-05 10:30:56,mavantwout,"[""20-step-ahead"",""single_run"",""quarterly"",""time-lag"",""20-predictions"",""4-year"",""seed0"",""7D-prediction""]",308.104,0.006333329734698636,KO,forwardfill,0
EX5-121,2021-08-05 10:30:56,mavantwout,"[""7D-prediction"",""single_run"",""20-predictions"",""quarterly"",""seed0"",""20-step-ahead"",""presence"",""4-year""]",302.108,0.006000431799624914,KO,linearfit260,0
EX5-120,2021-08-04 18:50:46,mavantwout,"[""20-step-ahead"",""7D-prediction"",""seed4"",""single_run"",""4-year"",""quarterly"",""time-lag"",""20-predictions""]",96.355,0.012119658501244973,MSFT,linearfit260,4
EX5-119,2021-08-04 18:50:42,mavantwout,"[""single_run"",""seed4"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""7D-prediction"",""quarterly""]",100.14,0.06526507206234608,MSFT,cubicfit260,4
EX5-118,2021-08-04 18:49:04,mavantwout,"[""single_run"",""20-step-ahead"",""20-predictions"",""4-year"",""seed3"",""time-lag"",""7D-prediction"",""quarterly""]",97.279,0.01546954362979277,MSFT,cubicfit260,3
EX5-117,2021-08-04 18:49:03,mavantwout,"[""20-step-ahead"",""7D-prediction"",""seed3"",""single_run"",""4-year"",""quarterly"",""time-lag"",""20-predictions""]",101.791,0.014838592330514816,MSFT,linearfit260,3
EX5-116,2021-08-04 18:47:26,mavantwout,"[""single_run"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""7D-prediction"",""quarterly"",""seed2""]",96.489,0.056960171094933156,MSFT,cubicfit260,2
EX5-115,2021-08-04 18:47:26,mavantwout,"[""20-predictions"",""7D-prediction"",""quarterly"",""20-step-ahead"",""time-lag"",""4-year"",""seed4"",""single_run""]",96.903,0.022577961009762122,MSFT,globalmean,4
EX5-114,2021-08-04 18:47:21,mavantwout,"[""20-step-ahead"",""7D-prediction"",""seed2"",""single_run"",""4-year"",""quarterly"",""time-lag"",""20-predictions""]",96.745,0.05368430550289762,MSFT,linearfit260,2
EX5-113,2021-08-04 18:47:21,mavantwout,"[""single_run"",""20-predictions"",""presence"",""quarterly"",""7D-prediction"",""seed4"",""4-year"",""20-step-ahead""]",102.007,0.019028256813554724,MSFT,cubicfit260,4
EX5-112,2021-08-04 18:47:18,mavantwout,"[""seed4"",""4-year"",""20-predictions"",""single_run"",""time-lag"",""20-step-ahead"",""7D-prediction"",""quarterly""]",76.778,0.016742914956045053,MSFT,meanlast260,4
EX5-111,2021-08-04 18:47:06,mavantwout,"[""20-step-ahead"",""time-lag"",""quarterly"",""7D-prediction"",""20-predictions"",""single_run"",""seed4"",""4-year""]",91.717,0.019858888215157047,MSFT,forwardfill,4
EX5-110,2021-08-04 18:46:10,mavantwout,"[""7D-prediction"",""4-year"",""quarterly"",""presence"",""single_run"",""20-predictions"",""seed4"",""20-step-ahead""]",106.272,0.03428998079812176,MSFT,meanlast260,4
EX5-109,2021-08-04 18:45:55,mavantwout,"[""4-year"",""20-predictions"",""single_run"",""seed3"",""time-lag"",""20-step-ahead"",""7D-prediction"",""quarterly""]",81.677,0.02440310461692445,MSFT,meanlast260,3
EX5-108,2021-08-04 18:45:49,mavantwout,"[""single_run"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""7D-prediction"",""quarterly"",""seed1""]",96.463,0.02123369956734958,MSFT,cubicfit260,1
EX5-107,2021-08-04 18:45:43,mavantwout,"[""20-predictions"",""7D-prediction"",""quarterly"",""20-step-ahead"",""time-lag"",""4-year"",""single_run"",""seed3""]",97.694,0.020360900957190876,MSFT,globalmean,3
EX5-106,2021-08-04 18:45:43,mavantwout,"[""seed4"",""7D-prediction"",""single_run"",""4-year"",""20-step-ahead"",""20-predictions"",""quarterly"",""presence""]",97.755,0.015698331334122635,MSFT,linearfit260,4
EX5-105,2021-08-04 18:45:39,mavantwout,"[""20-step-ahead"",""7D-prediction"",""single_run"",""4-year"",""quarterly"",""seed1"",""time-lag"",""20-predictions""]",101.516,0.01636988492336612,MSFT,linearfit260,1
EX5-104,2021-08-04 18:45:37,mavantwout,"[""single_run"",""seed3"",""20-predictions"",""presence"",""quarterly"",""7D-prediction"",""4-year"",""20-step-ahead""]",102.675,0.02532595649557907,MSFT,cubicfit260,3
EX5-103,2021-08-04 18:45:34,mavantwout,"[""20-step-ahead"",""time-lag"",""quarterly"",""7D-prediction"",""20-predictions"",""single_run"",""seed3"",""4-year""]",91.438,0.013112357576670947,MSFT,forwardfill,3
EX5-102,2021-08-04 18:44:33,mavantwout,"[""4-year"",""20-predictions"",""single_run"",""time-lag"",""seed2"",""20-step-ahead"",""7D-prediction"",""quarterly""]",81.505,0.0265392764487944,MSFT,meanlast260,2
EX5-101,2021-08-04 18:44:24,mavantwout,"[""7D-prediction"",""4-year"",""quarterly"",""presence"",""seed3"",""single_run"",""20-predictions"",""20-step-ahead""]",106.227,0.02638459539577558,MSFT,meanlast260,3
EX5-100,2021-08-04 18:44:07,mavantwout,"[""20-predictions"",""7D-prediction"",""quarterly"",""20-step-ahead"",""time-lag"",""4-year"",""seed2"",""single_run""]",96.23,0.013646537973379374,MSFT,globalmean,2
EX5-99,2021-08-04 18:44:06,mavantwout,"[""7D-prediction"",""single_run"",""4-year"",""seed3"",""20-step-ahead"",""20-predictions"",""quarterly"",""presence""]",96.611,0.018006987290991205,MSFT,linearfit260,3
EX5-98,2021-08-04 18:44:02,mavantwout,"[""seed0"",""single_run"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""7D-prediction"",""quarterly""]",106.687,0.021149236192328943,MSFT,cubicfit260,0
EX5-97,2021-08-04 18:43:57,mavantwout,"[""20-step-ahead"",""time-lag"",""quarterly"",""7D-prediction"",""20-predictions"",""seed2"",""single_run"",""4-year""]",96.344,0.021121691718130716,MSFT,forwardfill,2
EX5-96,2021-08-04 18:43:51,mavantwout,"[""20-step-ahead"",""7D-prediction"",""seed0"",""single_run"",""4-year"",""quarterly"",""time-lag"",""20-predictions""]",101.993,0.013624701631154534,MSFT,linearfit260,0
EX5-95,2021-08-04 18:43:50,mavantwout,"[""single_run"",""20-predictions"",""presence"",""quarterly"",""seed2"",""7D-prediction"",""4-year"",""20-step-ahead""]",101.452,0.018387695423230578,MSFT,cubicfit260,2
EX5-94,2021-08-04 18:43:11,mavantwout,"[""seed1"",""4-year"",""20-predictions"",""single_run"",""time-lag"",""20-step-ahead"",""7D-prediction"",""quarterly""]",81.511,0.013295138185055889,MSFT,meanlast260,1
EX5-93,2021-08-04 18:42:36,mavantwout,"[""7D-prediction"",""4-year"",""quarterly"",""presence"",""single_run"",""20-predictions"",""seed2"",""20-step-ahead""]",106.808,0.020311648039897573,MSFT,meanlast260,2
EX5-92,2021-08-04 18:42:30,mavantwout,"[""20-predictions"",""7D-prediction"",""quarterly"",""20-step-ahead"",""seed1"",""time-lag"",""4-year"",""single_run""]",97.0,0.010138374854075814,MSFT,globalmean,1
EX5-91,2021-08-04 18:42:28,mavantwout,"[""7D-prediction"",""single_run"",""4-year"",""20-step-ahead"",""20-predictions"",""quarterly"",""presence"",""seed2""]",97.45,0.015417505850832186,MSFT,linearfit260,2
