Id,Creation Time,Owner,Tags,logs/missingness,logs/seed,logs/imputation,logs/company,logs/smape (last),Running Time,properties/data
EX2-126,2021-08-04 15:50:04,mavantwout,"[""20-step-ahead"",""20-predictions"",""seed4"",""4-year"",""shifted30"",""2D-prediction"",""single_run""]",985,4,linearfit260,MSFT,0.03533009148357791,106.377,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-125,2021-08-04 15:48:22,mavantwout,"[""20-step-ahead"",""20-predictions"",""seed3"",""4-year"",""shifted30"",""2D-prediction"",""single_run""]",985,3,linearfit260,MSFT,0.022865041606629395,101.393,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-124,2021-08-04 15:46:31,mavantwout,"[""20-step-ahead"",""20-predictions"",""4-year"",""seed2"",""shifted30"",""2D-prediction"",""single_run""]",985,2,linearfit260,MSFT,0.061375514375684094,111.121,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-123,2021-08-04 15:46:04,mavantwout,"[""seed4"",""2D-prediction"",""single_run"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",985,4,meanlast260,MSFT,0.01908931751670467,111.761,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-122,2021-08-04 15:44:39,mavantwout,"[""20-step-ahead"",""20-predictions"",""4-year"",""seed1"",""shifted30"",""2D-prediction"",""single_run""]",985,1,linearfit260,MSFT,0.02117982668753942,111.234,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-121,2021-08-04 15:44:12,mavantwout,"[""seed3"",""2D-prediction"",""single_run"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",985,3,meanlast260,MSFT,0.029728678652558616,111.304,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-120,2021-08-04 15:42:42,mavantwout,"[""20-step-ahead"",""20-predictions"",""4-year"",""seed0"",""shifted30"",""2D-prediction"",""single_run""]",985,0,linearfit260,MSFT,0.02339247349220659,116.513,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-119,2021-08-04 15:42:25,mavantwout,"[""2D-prediction"",""single_run"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead"",""seed2""]",985,2,meanlast260,MSFT,0.021921772602426677,106.23,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-118,2021-08-04 15:40:38,mavantwout,"[""2D-prediction"",""single_run"",""seed1"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",985,1,meanlast260,MSFT,0.021749769502711132,106.197,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-117,2021-08-04 15:40:09,mavantwout,"[""4-year"",""20-predictions"",""shifted30"",""single_run"",""20-step-ahead"",""seed4"",""2D-prediction""]",985,4,globalmean,MSFT,0.024639500108910986,111.291,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
